시간 16968 : 작업 : 965 종료(도착시간 : 16292, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 676, 최종우선순위 : 6)
시간 17478 : 작업 : 4 종료(도착시간 : 16827, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 651, 최종우선순위 : 6)
시간 17528 : 작업 : 760 종료(도착시간 : 17022, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 506, 최종우선순위 : 4)
시간 17728 : 작업 : 919 종료(도착시간 : 17013, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 715, 최종우선순위 : 6)
시간 17768 : 작업 : 976 종료(도착시간 : 17157, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 611, 최종우선순위 : 5)
시간 18708 : 작업 : 791 종료(도착시간 : 18058, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 650, 최종우선순위 : 5)
시간 19238 : 작업 : 915 종료(도착시간 : 18738, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 500, 최종우선순위 : 5)
시간 19448 : 작업 : 644 종료(도착시간 : 17945, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 1503, 최종우선순위 : 6)
시간 20078 : 작업 : 633 종료(도착시간 : 18661, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 1417, 최종우선순위 : 6)
시간 20398 : 작업 : 477 종료(도착시간 : 19854, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 544, 최종우선순위 : 4)
시간 20408 : 작업 : 823 종료(도착시간 : 19814, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 594, 최종우선순위 : 5)
시간 20928 : 작업 : 168 종료(도착시간 : 20326, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 602, 최종우선순위 : 5)
시간 21008 : 작업 : 909 종료(도착시간 : 18842, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 2166, 최종우선순위 : 6)
시간 21098 : 작업 : 693 종료(도착시간 : 20476, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 622, 최종우선순위 : 5)
시간 21368 : 작업 : 767 종료(도착시간 : 19420, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 1948, 최종우선순위 : 6)
시간 21978 : 작업 : 660 종료(도착시간 : 20363, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 1615, 최종우선순위 : 6)
시간 22158 : 작업 : 443 종료(도착시간 : 20972, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 1186, 최종우선순위 : 6)
시간 22178 : 작업 : 172 종료(도착시간 : 20851, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 1327, 최종우선순위 : 6)
시간 22428 : 작업 : 8 종료(도착시간 : 12382, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 10046, 최종우선순위 : 7)
시간 23248 : 작업 : 983 종료(도착시간 : 22740, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 508, 최종우선순위 : 4)
시간 23518 : 작업 : 139 종료(도착시간 : 13061, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 10457, 최종우선순위 : 7)
시간 23818 : 작업 : 569 종료(도착시간 : 23165, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 653, 최종우선순위 : 5)
시간 23998 : 작업 : 662 종료(도착시간 : 23445, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 553, 최종우선순위 : 5)
시간 24138 : 작업 : 731 종료(도착시간 : 23569, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 569, 최종우선순위 : 6)
시간 24258 : 작업 : 622 종료(도착시간 : 23588, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 670, 최종우선순위 : 6)
시간 24488 : 작업 : 187 종료(도착시간 : 23869, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 619, 최종우선순위 : 6)
시간 24968 : 작업 : 562 종료(도착시간 : 24353, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 615, 최종우선순위 : 5)
시간 25478 : 작업 : 220 종료(도착시간 : 15145, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 10333, 최종우선순위 : 7)
시간 25588 : 작업 : 254 종료(도착시간 : 25087, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 501, 최종우선순위 : 6)
시간 25638 : 작업 : 523 종료(도착시간 : 15469, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 10169, 최종우선순위 : 7)
시간 25938 : 작업 : 999 종료(도착시간 : 25329, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 609, 최종우선순위 : 5)
시간 26778 : 작업 : 778 종료(도착시간 : 26177, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 601, 최종우선순위 : 5)
시간 27528 : 작업 : 943 종료(도착시간 : 26919, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 609, 최종우선순위 : 5)
시간 27988 : 작업 : 239 종료(도착시간 : 27489, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 499, 최종우선순위 : 5)
시간 28268 : 작업 : 43 종료(도착시간 : 27350, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 918, 최종우선순위 : 6)
시간 28478 : 작업 : 867 종료(도착시간 : 27700, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 778, 최종우선순위 : 6)
